Respondent_ID,Gender,Age_Group,Experience_Years,Employment_Sector,Current_Monthly_Salary,Salary_Adequacy,Salary_Adequacy_score,Income_Expenditure,Debt_Status,Food & Groceries,Food_score_Num,Transport_Score,Transportataion_score_Num,Healthcare_score,Healthcare_score_Num,Savings_Behaviour,Coping_Strategy
1,Male,26-35,3 years and above,Private sector,"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,51% - 70%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Slightly Affected,2,Moderately Affected,3,I now save more deliberately to protect myself,Cutting back on non-essential spending
2,Female,18-25,3 years and above,Private sector,"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Severely Affected,4,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Cutting back on non-essential spending
3,Male,36-45,3 years and above,Private sector,"#151,000 - #300,000","It covers much less than before, I struggle significantly",4,71% - 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Extremely Affected,5,I save much less than I used to,Taking on an additional job or side hustle
4,Female,36-45,3 years and above,Private sector,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,50% or less,"No, I have managed without borrowing or depleting savings",Severely Affected,4,Extremely Affected,5,Extremely Affected,5,I now save more deliberately to protect myself,Cutting back on non-essential spending
5,Male,36-45,3 years and above,Private sector,"#151,000 - #300,000","It covers much less than before, I struggle significantly",4,71% - 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Extremely Affected,5,Extremely Affected,5,I save much less than I used to,Taking on an additional job or side hustle
6,Male,36-45,3 years and above,Private sector,"#151,000 - #300,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Severely Affected,4,Moderately Affected,3,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
7,Male,36-45,3 years and above,Private sector,"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Slightly Affected,2,Slightly Affected,2,"I have completely stopped saving , there is nothing left to save",Cutting back on non-essential spending
8,Male,36-45,3 years and above,Private sector,"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,51% - 70%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Severely Affected,4,Moderately Affected,3,My savings have remained roughly the same,Borrowing money or taking loans
9,Male,26-35,3 years and above,Private sector,"#151,000 - #300,000","It covers much less than before, I struggle significantly",4,51% - 70%,"No, I have managed without borrowing or depleting savings",Moderately Affected,3,Moderately Affected,3,Moderately Affected,3,I save much less than I used to,Taking on an additional job or side hustle
10,Male,26-35,3 years and above,Private sector,"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Slightly Affected,2,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
